Measurement time:; 02/09/2022 21:07:10
Radiation device:; Clinac3 Accelerator
Energy:; 12 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 -  F
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
151,4; 0,0; 28,0; 1,61; 3178,0; 2,13
150,2; 0,0; 28,0; 1,47; 2898,9; 1,43
147,9; 0,0; 28,0; 1,46; 2886,2; 1,59
146,9; 0,0; 28,0; 1,40; 2759,1; 1,43
145,4; 0,0; 28,0; 1,47; 2897,8; 1,26
144,1; 0,0; 28,0; 1,45; 2862,9; 1,42
142,7; 0,0; 28,0; 1,50; 2972,0; 1,80
141,4; 0,0; 28,0; 1,49; 2939,1; 1,37
140,2; 0,0; 28,0; 1,43; 2815,5; 1,59
139,0; 0,0; 28,0; 1,41; 2777,9; 1,21
137,8; 0,0; 28,0; 1,39; 2751,0; 1,61
136,7; 0,0; 28,0; 1,39; 2748,3; 1,33
135,6; 0,0; 28,0; 1,38; 2722,9; 1,31
134,3; 0,0; 28,0; 1,46; 2892,5; 1,60
133,2; 0,0; 28,0; 1,39; 2748,1; 1,21
132,0; 0,0; 28,0; 1,34; 2652,3; 1,21
130,8; 0,0; 28,0; 1,53; 3013,3; 1,90
129,5; 0,0; 28,0; 1,43; 2833,8; 1,34
128,3; 0,0; 28,0; 1,40; 2756,4; 1,50
127,1; 0,0; 28,0; 1,43; 2825,0; 1,27
125,8; 0,0; 28,0; 1,40; 2756,1; 1,46
124,6; 0,0; 28,0; 1,34; 2655,3; 1,40
123,3; 0,0; 28,0; 1,32; 2610,3; 1,16
122,2; 0,0; 28,0; 1,41; 2779,2; 1,59
121,0; 0,0; 28,0; 1,23; 2438,6; 1,02
119,7; 0,0; 28,0; 1,46; 2888,7; 1,48
118,6; 0,0; 28,0; 1,40; 2758,0; 1,68
117,3; 0,0; 28,0; 1,34; 2647,3; 1,15
116,1; 0,0; 28,0; 1,36; 2690,9; 1,49
114,8; 0,0; 28,0; 1,40; 2771,0; 1,42
113,6; 0,0; 28,0; 1,38; 2727,5; 1,25
112,4; 0,0; 28,0; 1,37; 2696,3; 1,46
111,1; 0,0; 28,0; 1,28; 2537,4; 1,11
110,0; 0,0; 28,0; 1,31; 2587,0; 1,42
108,7; 0,0; 28,0; 1,27; 2517,1; 1,09
107,5; 0,0; 28,0; 1,24; 2448,0; 1,26
106,3; 0,0; 28,0; 1,40; 2761,8; 1,61
105,1; 0,0; 28,0; 1,16; 2298,2; 1,02
103,9; 0,0; 28,0; 1,32; 2610,2; 1,42
102,7; 0,0; 28,0; 1,30; 2571,6; 1,32
101,4; 0,0; 28,0; 1,21; 2381,2; 1,10
100,3; 0,0; 28,0; 1,31; 2594,8; 1,41
99,0; 0,0; 28,0; 1,31; 2578,8; 1,49
97,8; 0,0; 28,0; 1,22; 2415,3; 1,21
96,6; 0,0; 28,0; 1,22; 2404,4; 1,12
95,4; 0,0; 28,0; 1,22; 2417,1; 1,35
94,2; 0,0; 28,0; 1,27; 2516,9; 1,44
92,9; 0,0; 28,0; 1,17; 2319,1; 1,08
91,8; 0,0; 28,0; 1,04; 2048,9; 1,03
90,5; 0,0; 28,0; 1,00; 1976,1; 1,09
89,2; 0,0; 28,0; 0,84; 1653,5; 0,72
88,1; 0,0; 28,0; 0,99; 1961,7; 1,09
86,8; 0,0; 28,0; 0,80; 1585,4; 0,82
85,6; 0,0; 28,0; 0,67; 1328,2; 0,62
84,4; 0,0; 28,0; 0,36; 709,4; 0,30
83,1; 0,0; 28,0; 0,56; 1100,5; 0,61
82,0; 0,0; 28,0; 0,57; 1132,1; 0,65
80,7; 0,0; 28,0; 0,37; 730,0; 0,38
79,6; 0,0; 28,0; 0,02; 40,2; 0,02
78,3; 0,0; 28,0; 0,14; 274,0; 0,15
77,1; 0,0; 28,0; 0,43; 839,5; 0,37
75,9; 0,0; 28,0; 0,27; 523,5; 0,29
74,6; 0,0; 28,0; 0,49; 966,7; 0,50
73,5; 0,0; 28,0; 1,11; 2196,3; 1,03
72,2; 0,0; 28,0; 1,90; 3751,1; 1,54
71,0; 0,0; 28,0; 1,17; 2301,7; 1,37
69,8; 0,0; 28,0; 1,71; 3375,8; 1,87
68,6; 0,0; 28,0; 2,33; 4595,8; 2,40
67,4; 0,0; 28,0; 3,61; 7128,6; 3,28
66,1; 0,0; 28,0; 3,16; 6238,7; 3,62
64,9; 0,0; 28,0; 5,26; 10392,5; 4,98
63,8; 0,0; 28,0; 5,53; 10914,7; 5,80
62,5; 0,0; 28,0; 6,51; 12857,6; 6,99
61,3; 0,0; 28,0; 10,62; 20971,5; 9,29
60,1; 0,0; 28,0; 12,74; 25154,3; 11,26
58,9; 0,0; 28,0; 9,61; 18980,1; 12,90
57,6; 0,0; 28,0; 18,41; 36351,9; 17,30
56,4; 0,0; 28,0; 18,41; 36353,8; 20,49
55,3; 0,0; 28,0; 29,24; 57754,4; 26,05
53,9; 0,0; 28,0; 29,07; 57409,0; 31,67
52,8; 0,0; 28,0; 35,57; 70258,9; 36,73
51,5; 0,0; 28,0; 47,94; 94688,4; 44,34
50,3; 0,0; 28,0; 46,95; 92724,3; 50,25
49,1; 0,0; 28,0; 65,35; 129074,0; 57,80
47,9; 0,0; 28,0; 69,33; 136932,3; 63,56
46,7; 0,0; 28,0; 56,50; 111599,9; 69,06
45,5; 0,0; 28,0; 81,15; 160282,6; 75,39
