Measurement time:; 02/09/2022 21:05:13
Radiation device:; Clinac3 Accelerator
Energy:; 12 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 -  F
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Crossline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 151,4; 28,0; 1,81; 3577,6; 2,07
0,0; 150,7; 28,0; 1,43; 2822,0; 1,45
0,0; 149,3; 28,0; 1,42; 2805,8; 1,40
0,0; 148,1; 28,0; 1,41; 2785,8; 1,40
0,0; 146,9; 28,0; 1,41; 2787,5; 1,39
0,0; 145,7; 28,0; 1,46; 2879,8; 1,44
0,0; 144,5; 28,0; 1,45; 2862,4; 1,44
0,0; 143,3; 28,0; 1,38; 2725,3; 1,38
0,0; 142,1; 28,0; 1,41; 2787,0; 1,42
0,0; 140,9; 28,0; 1,37; 2715,5; 1,36
0,0; 139,6; 28,0; 1,39; 2752,1; 1,41
0,0; 138,5; 28,0; 1,39; 2749,4; 1,42
0,0; 137,3; 28,0; 1,42; 2812,3; 1,41
0,0; 136,1; 28,0; 1,35; 2674,8; 1,33
0,0; 134,9; 28,0; 1,40; 2761,5; 1,36
0,0; 133,7; 28,0; 1,42; 2798,0; 1,42
0,0; 132,5; 28,0; 1,37; 2702,8; 1,34
0,0; 131,3; 28,0; 1,39; 2751,8; 1,41
0,0; 130,1; 28,0; 1,40; 2760,3; 1,40
0,0; 128,9; 28,0; 1,41; 2777,1; 1,39
0,0; 127,7; 28,0; 1,41; 2779,7; 1,40
0,0; 126,5; 28,0; 1,39; 2751,9; 1,39
0,0; 125,3; 28,0; 1,41; 2787,2; 1,42
0,0; 124,1; 28,0; 1,39; 2739,0; 1,40
0,0; 122,9; 28,0; 1,40; 2772,3; 1,38
0,0; 121,7; 28,0; 1,41; 2778,8; 1,42
0,0; 120,5; 28,0; 1,39; 2749,2; 1,41
0,0; 119,3; 28,0; 1,39; 2743,9; 1,38
0,0; 118,1; 28,0; 1,40; 2755,7; 1,38
0,0; 116,9; 28,0; 1,36; 2692,4; 1,34
0,0; 115,6; 28,0; 1,45; 2865,6; 1,50
0,0; 114,5; 28,0; 1,34; 2652,6; 1,33
0,0; 113,3; 28,0; 1,37; 2696,7; 1,34
0,0; 112,1; 28,0; 1,36; 2683,5; 1,36
0,0; 110,8; 28,0; 1,33; 2629,0; 1,30
0,0; 109,6; 28,0; 1,34; 2653,4; 1,36
0,0; 108,4; 28,0; 1,32; 2614,9; 1,39
0,0; 107,2; 28,0; 1,33; 2634,0; 1,29
0,0; 106,1; 28,0; 1,34; 2648,2; 1,38
0,0; 104,8; 28,0; 1,34; 2640,2; 1,33
0,0; 103,6; 28,0; 1,30; 2568,4; 1,28
0,0; 102,5; 28,0; 1,30; 2565,8; 1,29
0,0; 101,2; 28,0; 1,33; 2619,6; 1,36
0,0; 100,1; 28,0; 1,31; 2584,8; 1,29
0,0; 98,8; 28,0; 1,23; 2432,3; 1,22
0,0; 97,6; 28,0; 1,25; 2460,4; 1,24
0,0; 96,4; 28,0; 1,23; 2421,2; 1,23
0,0; 95,2; 28,0; 1,22; 2406,7; 1,21
0,0; 94,0; 28,0; 1,18; 2329,6; 1,17
0,0; 92,8; 28,0; 1,21; 2388,6; 1,20
0,0; 91,6; 28,0; 1,12; 2207,7; 1,10
0,0; 90,4; 28,0; 1,17; 2312,4; 1,16
0,0; 89,2; 28,0; 1,04; 2057,2; 1,02
0,0; 88,0; 28,0; 1,04; 2047,9; 1,07
0,0; 86,8; 28,0; 0,93; 1833,3; 0,92
0,0; 85,6; 28,0; 0,84; 1666,2; 0,84
0,0; 84,5; 28,0; 0,75; 1489,5; 0,73
0,0; 83,2; 28,0; 0,71; 1407,4; 0,75
0,0; 82,1; 28,0; 0,50; 986,5; 0,48
0,0; 80,8; 28,0; 0,40; 796,5; 0,41
0,0; 79,6; 28,0; 0,20; 395,8; 0,20
0,0; 78,4; 28,0; 0,05; 102,9; 0,05
