Measurement time:; 02/09/2022 18:30:36
Radiation device:; Clinac3 Accelerator
Energy:; 6 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 -  F
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Beam
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 0,0; 200,0; 0,16; 311,6; 0,22
0,0; 0,0; 199,3; 0,13; 248,8; 0,13
0,0; 0,0; 198,0; 0,11; 220,8; 0,11
0,0; 0,0; 196,8; 0,15; 291,6; 0,15
0,0; 0,0; 195,6; 0,15; 286,8; 0,14
0,0; 0,0; 194,4; 0,16; 314,8; 0,16
0,0; 0,0; 193,2; 0,16; 304,1; 0,16
0,0; 0,0; 192,0; 0,12; 228,2; 0,11
0,0; 0,0; 190,7; 0,10; 200,7; 0,10
0,0; 0,0; 189,5; 0,13; 245,1; 0,13
0,0; 0,0; 188,3; 0,15; 299,9; 0,15
0,0; 0,0; 187,1; 0,17; 333,7; 0,17
0,0; 0,0; 185,9; 0,15; 289,1; 0,15
0,0; 0,0; 184,7; 0,18; 345,7; 0,17
0,0; 0,0; 183,5; 0,16; 309,0; 0,16
0,0; 0,0; 182,3; 0,14; 282,2; 0,15
0,0; 0,0; 181,1; 0,15; 295,8; 0,15
0,0; 0,0; 179,9; 0,16; 319,9; 0,16
0,0; 0,0; 178,7; 0,15; 289,7; 0,15
0,0; 0,0; 177,5; 0,21; 416,0; 0,21
0,0; 0,0; 176,3; 0,15; 292,1; 0,15
0,0; 0,0; 175,1; 0,13; 259,9; 0,13
0,0; 0,0; 173,9; 0,16; 311,6; 0,16
0,0; 0,0; 172,7; 0,13; 258,6; 0,13
0,0; 0,0; 171,5; 0,14; 272,0; 0,14
0,0; 0,0; 170,3; 0,17; 333,4; 0,17
0,0; 0,0; 169,1; 0,16; 315,2; 0,16
0,0; 0,0; 167,9; 0,17; 338,0; 0,17
0,0; 0,0; 166,7; 0,16; 314,6; 0,16
0,0; 0,0; 165,5; 0,20; 382,3; 0,20
0,0; 0,0; 164,3; 0,20; 383,1; 0,19
0,0; 0,0; 163,1; 0,20; 382,8; 0,19
0,0; 0,0; 161,9; 0,19; 361,8; 0,19
0,0; 0,0; 160,7; 0,19; 377,2; 0,19
0,0; 0,0; 159,5; 0,20; 397,7; 0,20
0,0; 0,0; 158,3; 0,19; 370,9; 0,19
0,0; 0,0; 157,1; 0,19; 374,6; 0,19
0,0; 0,0; 155,9; 0,16; 303,9; 0,16
0,0; 0,0; 154,7; 0,20; 384,1; 0,20
0,0; 0,0; 153,5; 0,19; 362,0; 0,18
0,0; 0,0; 152,3; 0,18; 357,7; 0,18
0,0; 0,0; 151,1; 0,22; 426,1; 0,22
0,0; 0,0; 149,9; 0,22; 426,1; 0,21
0,0; 0,0; 148,7; 0,19; 364,6; 0,18
0,0; 0,0; 147,5; 0,23; 454,1; 0,23
0,0; 0,0; 146,3; 0,20; 381,6; 0,19
0,0; 0,0; 145,1; 0,21; 410,2; 0,21
0,0; 0,0; 143,9; 0,19; 369,5; 0,19
0,0; 0,0; 142,7; 0,18; 352,4; 0,17
0,0; 0,0; 141,5; 0,17; 330,1; 0,17
0,0; 0,0; 140,3; 0,17; 328,4; 0,17
0,0; 0,0; 139,1; 0,18; 360,0; 0,18
0,0; 0,0; 137,9; 0,20; 383,2; 0,20
0,0; 0,0; 136,6; 0,23; 440,0; 0,23
0,0; 0,0; 135,4; 0,21; 410,7; 0,20
0,0; 0,0; 134,2; 0,19; 374,9; 0,19
0,0; 0,0; 133,1; 0,21; 411,6; 0,21
0,0; 0,0; 131,9; 0,23; 442,6; 0,22
0,0; 0,0; 130,6; 0,23; 443,3; 0,23
0,0; 0,0; 129,5; 0,22; 431,4; 0,22
0,0; 0,0; 128,2; 0,21; 409,2; 0,20
0,0; 0,0; 127,0; 0,24; 461,8; 0,24
0,0; 0,0; 125,8; 0,20; 394,0; 0,20
0,0; 0,0; 124,7; 0,26; 515,4; 0,25
0,0; 0,0; 123,4; 0,20; 392,8; 0,20
0,0; 0,0; 122,2; 0,23; 446,2; 0,23
0,0; 0,0; 121,0; 0,28; 544,9; 0,27
0,0; 0,0; 119,8; 0,25; 491,2; 0,25
0,0; 0,0; 118,6; 0,26; 510,7; 0,26
0,0; 0,0; 117,4; 0,27; 536,0; 0,27
0,0; 0,0; 116,2; 0,25; 483,4; 0,25
0,0; 0,0; 115,0; 0,23; 440,2; 0,23
0,0; 0,0; 113,8; 0,25; 493,0; 0,24
0,0; 0,0; 112,6; 0,26; 505,3; 0,26
0,0; 0,0; 111,4; 0,27; 527,8; 0,27
0,0; 0,0; 110,2; 0,26; 507,7; 0,25
0,0; 0,0; 109,0; 0,28; 549,0; 0,28
0,0; 0,0; 107,8; 0,26; 505,9; 0,25
0,0; 0,0; 106,6; 0,23; 446,5; 0,23
0,0; 0,0; 105,4; 0,25; 484,2; 0,25
0,0; 0,0; 104,2; 0,24; 472,8; 0,25
0,0; 0,0; 103,0; 0,27; 535,4; 0,26
0,0; 0,0; 101,8; 0,27; 521,9; 0,27
0,0; 0,0; 100,6; 0,27; 530,6; 0,27
0,0; 0,0; 99,4; 0,30; 580,8; 0,29
0,0; 0,0; 98,2; 0,26; 510,1; 0,26
0,0; 0,0; 97,0; 0,27; 521,3; 0,27
0,0; 0,0; 95,8; 0,31; 598,8; 0,30
0,0; 0,0; 94,6; 0,28; 551,7; 0,28
0,0; 0,0; 93,4; 0,30; 585,0; 0,30
0,0; 0,0; 92,2; 0,31; 603,3; 0,30
0,0; 0,0; 91,0; 0,30; 588,7; 0,30
0,0; 0,0; 89,8; 0,27; 536,2; 0,27
0,0; 0,0; 88,6; 0,34; 656,9; 0,33
0,0; 0,0; 87,4; 0,33; 636,3; 0,33
0,0; 0,0; 86,2; 0,30; 593,0; 0,30
0,0; 0,0; 85,0; 0,31; 605,9; 0,31
0,0; 0,0; 83,8; 0,33; 647,9; 0,33
0,0; 0,0; 82,6; 0,30; 595,2; 0,30
0,0; 0,0; 81,3; 0,32; 616,7; 0,31
0,0; 0,0; 80,1; 0,37; 720,3; 0,37
0,0; 0,0; 78,9; 0,37; 715,4; 0,36
0,0; 0,0; 77,7; 0,35; 685,1; 0,35
0,0; 0,0; 76,5; 0,36; 696,2; 0,36
0,0; 0,0; 75,3; 0,33; 650,1; 0,33
0,0; 0,0; 74,1; 0,36; 708,8; 0,36
0,0; 0,0; 72,9; 0,38; 740,1; 0,38
0,0; 0,0; 71,7; 0,42; 816,6; 0,41
0,0; 0,0; 70,5; 0,36; 705,5; 0,36
0,0; 0,0; 69,3; 0,38; 751,0; 0,39
0,0; 0,0; 68,1; 0,39; 763,9; 0,38
0,0; 0,0; 66,9; 0,37; 718,3; 0,37
0,0; 0,0; 65,7; 0,39; 766,3; 0,39
0,0; 0,0; 64,5; 0,45; 877,7; 0,44
0,0; 0,0; 63,3; 0,36; 698,3; 0,36
0,0; 0,0; 62,1; 0,40; 789,1; 0,41
0,0; 0,0; 60,9; 0,49; 954,6; 0,47
0,0; 0,0; 59,6; 0,41; 800,2; 0,41
0,0; 0,0; 58,5; 0,41; 806,8; 0,42
0,0; 0,0; 57,2; 0,47; 913,4; 0,46
0,0; 0,0; 56,0; 0,45; 883,0; 0,45
0,0; 0,0; 54,8; 0,44; 861,3; 0,45
0,0; 0,0; 53,6; 0,43; 842,7; 0,42
0,0; 0,0; 52,4; 0,43; 844,2; 0,43
0,0; 0,0; 51,2; 0,42; 824,5; 0,43
0,0; 0,0; 50,0; 0,46; 898,6; 0,45
0,0; 0,0; 48,8; 0,46; 899,5; 0,46
0,0; 0,0; 47,6; 0,45; 874,5; 0,45
0,0; 0,0; 46,4; 0,46; 903,8; 0,45
0,0; 0,0; 45,2; 0,47; 923,2; 0,47
0,0; 0,0; 44,0; 0,48; 948,0; 0,49
0,0; 0,0; 42,8; 0,54; 1054,4; 0,52
0,0; 0,0; 41,5; 0,52; 1015,8; 0,52
0,0; 0,0; 40,3; 0,48; 935,4; 0,48
0,0; 0,0; 39,1; 0,50; 975,6; 0,48
0,0; 0,0; 37,9; 0,49; 948,7; 0,49
0,0; 0,0; 36,7; 0,53; 1037,2; 0,54
0,0; 0,0; 35,5; 0,56; 1098,5; 0,54
0,0; 0,0; 34,3; 0,75; 1466,0; 0,76
0,0; 0,0; 33,1; 1,17; 2293,7; 1,17
0,0; 0,0; 31,9; 2,29; 4471,7; 2,25
0,0; 0,0; 30,7; 4,29; 8389,9; 4,30
0,0; 0,0; 29,5; 7,71; 15080,2; 7,67
0,0; 0,0; 28,3; 12,94; 25311,5; 12,75
0,0; 0,0; 27,1; 19,23; 37607,3; 19,35
0,0; 0,0; 25,9; 27,49; 53760,6; 27,14
0,0; 0,0; 24,7; 37,29; 72930,4; 36,74
0,0; 0,0; 23,5; 45,40; 88787,8; 45,95
0,0; 0,0; 22,3; 57,21; 111880,5; 56,08
0,0; 0,0; 21,1; 65,64; 128352,9; 65,57
0,0; 0,0; 19,8; 75,43; 147513,2; 74,17
0,0; 0,0; 18,6; 81,52; 159421,2; 81,92
0,0; 0,0; 17,4; 88,34; 172743,7; 88,56
0,0; 0,0; 16,2; 95,67; 187090,0; 93,40
0,0; 0,0; 15,0; 96,05; 187823,8; 96,94
0,0; 0,0; 13,8; 99,33; 194246,2; 99,30
0,0; 0,0; 12,6; 98,98; 193556,1; 100,00
0,0; 0,0; 11,4; 101,93; 199328,4; 99,71
0,0; 0,0; 10,2; 98,45; 192514,2; 98,11
0,0; 0,0; 9,0; 95,33; 186421,5; 96,08
0,0; 0,0; 7,8; 95,96; 187657,3; 93,77
0,0; 0,0; 6,6; 91,42; 178777,0; 90,98
0,0; 0,0; 5,4; 87,30; 170717,0; 88,27
0,0; 0,0; 4,2; 87,76; 171628,2; 85,52
0,0; 0,0; 3,0; 83,46; 163217,8; 82,83
0,0; 0,0; 1,8; 79,64; 155748,2; 80,39
0,0; 0,0; 0,5; 80,04; 156518,6; 78,47
0,0; 0,0; -0,5; 78,60; 153711,4; 77,29


Measurement time:; 02/09/2022 18:32:52
Radiation device:; Clinac3 Accelerator
Energy:; 18 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 -  F
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Beam
Scan mode:; Continuous
