Measurement time:; 18/10/2022 17:12:43
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 -  F
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Crossline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 154,7; 100,0; 1,09; 7328,8; 1,10
0,0; 153,2; 100,0; 1,11; 7517,7; 1,13
0,0; 152,1; 100,0; 1,14; 7667,7; 1,15
0,0; 150,9; 100,0; 1,14; 7708,7; 1,15
0,0; 149,7; 100,0; 1,14; 7670,8; 1,15
0,0; 148,5; 100,0; 1,19; 8020,6; 1,20
0,0; 147,3; 100,0; 1,20; 8122,0; 1,22
0,0; 146,1; 100,0; 1,23; 8292,0; 1,24
0,0; 144,9; 100,0; 1,25; 8462,5; 1,27
0,0; 143,7; 100,0; 1,30; 8744,2; 1,31
0,0; 142,5; 100,0; 1,29; 8724,5; 1,31
0,0; 141,3; 100,0; 1,32; 8881,0; 1,33
0,0; 140,1; 100,0; 1,35; 9092,0; 1,36
0,0; 138,9; 100,0; 1,38; 9278,5; 1,39
0,0; 137,7; 100,0; 1,39; 9399,3; 1,41
0,0; 136,5; 100,0; 1,41; 9494,9; 1,42
0,0; 135,3; 100,0; 1,46; 9856,4; 1,48
0,0; 134,1; 100,0; 1,47; 9937,1; 1,49
0,0; 132,9; 100,0; 1,50; 10113,1; 1,52
0,0; 131,7; 100,0; 1,52; 10285,0; 1,54
0,0; 130,5; 100,0; 1,54; 10401,4; 1,56
0,0; 129,3; 100,0; 1,59; 10711,2; 1,61
0,0; 128,1; 100,0; 1,61; 10881,2; 1,63
0,0; 126,9; 100,0; 1,65; 11115,7; 1,66
0,0; 125,7; 100,0; 1,71; 11536,2; 1,73
0,0; 124,5; 100,0; 1,73; 11648,4; 1,75
0,0; 123,3; 100,0; 1,78; 11978,6; 1,79
0,0; 122,1; 100,0; 1,80; 12122,7; 1,82
0,0; 120,9; 100,0; 1,83; 12338,4; 1,85
0,0; 119,7; 100,0; 1,87; 12636,6; 1,89
0,0; 118,5; 100,0; 1,92; 12949,6; 1,94
0,0; 117,3; 100,0; 1,96; 13248,7; 1,98
0,0; 116,0; 100,0; 1,99; 13437,0; 2,01
0,0; 114,9; 100,0; 2,04; 13739,9; 2,06
0,0; 113,6; 100,0; 2,09; 14088,9; 2,11
0,0; 112,5; 100,0; 2,14; 14465,6; 2,16
0,0; 111,2; 100,0; 2,18; 14719,2; 2,21
0,0; 110,0; 100,0; 2,23; 15053,7; 2,25
0,0; 108,8; 100,0; 2,30; 15484,6; 2,32
0,0; 107,7; 100,0; 2,37; 15985,5; 2,39
0,0; 106,4; 100,0; 2,40; 16198,8; 2,43
0,0; 105,2; 100,0; 2,48; 16728,2; 2,50
0,0; 104,0; 100,0; 2,53; 17091,2; 2,55
0,0; 102,8; 100,0; 2,61; 17579,8; 2,64
0,0; 101,6; 100,0; 2,64; 17832,2; 2,67
0,0; 100,4; 100,0; 2,72; 18358,6; 2,76
0,0; 99,2; 100,0; 2,79; 18796,3; 2,81
0,0; 98,0; 100,0; 2,88; 19426,7; 2,91
0,0; 96,8; 100,0; 2,97; 20039,2; 3,00
0,0; 95,6; 100,0; 3,04; 20529,6; 3,08
0,0; 94,4; 100,0; 3,13; 21103,2; 3,16
0,0; 93,2; 100,0; 3,20; 21596,7; 3,23
0,0; 92,0; 100,0; 3,30; 22246,2; 3,33
0,0; 90,8; 100,0; 3,40; 22934,6; 3,44
0,0; 89,6; 100,0; 3,50; 23610,7; 3,53
0,0; 88,4; 100,0; 3,60; 24292,9; 3,63
0,0; 87,2; 100,0; 3,70; 24987,6; 3,74
0,0; 86,0; 100,0; 3,81; 25689,2; 3,85
0,0; 84,8; 100,0; 3,94; 26601,0; 3,98
0,0; 83,6; 100,0; 4,08; 27544,3; 4,12
0,0; 82,4; 100,0; 4,22; 28490,6; 4,27
0,0; 81,2; 100,0; 4,36; 29437,0; 4,41
0,0; 80,0; 100,0; 4,53; 30579,7; 4,57
0,0; 78,8; 100,0; 4,67; 31492,4; 4,72
0,0; 77,6; 100,0; 4,85; 32681,9; 4,89
0,0; 76,4; 100,0; 5,03; 33900,4; 5,07
0,0; 75,1; 100,0; 5,21; 35127,7; 5,26
0,0; 74,0; 100,0; 5,37; 36195,6; 5,43
0,0; 72,7; 100,0; 5,61; 37824,8; 5,66
0,0; 71,5; 100,0; 5,81; 39183,0; 5,87
0,0; 70,3; 100,0; 6,05; 40791,8; 6,10
0,0; 69,1; 100,0; 6,30; 42464,3; 6,36
0,0; 67,9; 100,0; 6,58; 44373,5; 6,64
0,0; 66,7; 100,0; 6,90; 46567,5; 6,96
0,0; 65,5; 100,0; 7,14; 48161,3; 7,21
0,0; 64,4; 100,0; 7,51; 50625,6; 7,56
0,0; 63,1; 100,0; 7,85; 52913,8; 7,93
0,0; 61,9; 100,0; 8,26; 55682,9; 8,32
0,0; 60,7; 100,0; 8,70; 58663,7; 8,79
0,0; 59,5; 100,0; 9,24; 62307,8; 9,32
0,0; 58,3; 100,0; 9,89; 66691,6; 9,97
0,0; 57,1; 100,0; 10,73; 72399,1; 10,84
0,0; 55,9; 100,0; 11,89; 80201,1; 12,03
0,0; 54,7; 100,0; 13,88; 93616,4; 14,01
0,0; 53,5; 100,0; 17,67; 119177,5; 17,81
0,0; 52,3; 100,0; 24,70; 166613,0; 24,92
0,0; 51,1; 100,0; 34,10; 229994,3; 34,41
0,0; 49,9; 100,0; 45,00; 303500,9; 45,45
0,0; 48,7; 100,0; 56,55; 381427,6; 57,05
0,0; 47,5; 100,0; 67,12; 452691,6; 67,69
0,0; 46,3; 100,0; 75,44; 508815,3; 76,08
0,0; 45,1; 100,0; 80,51; 543010,0; 81,19
0,0; 43,8; 100,0; 83,20; 561139,4; 84,10
0,0; 42,7; 100,0; 85,27; 575129,1; 86,03
0,0; 41,5; 100,0; 86,32; 582154,0; 87,13
0,0; 40,2; 100,0; 87,40; 589445,9; 88,24
0,0; 39,0; 100,0; 88,36; 595908,2; 89,08
0,0; 37,8; 100,0; 89,03; 600425,6; 89,91
0,0; 36,6; 100,0; 89,85; 605991,7; 90,65
0,0; 35,4; 100,0; 90,47; 610167,3; 91,21
0,0; 34,2; 100,0; 91,01; 613838,5; 91,85
0,0; 33,0; 100,0; 91,36; 616141,9; 92,35
0,0; 31,8; 100,0; 92,12; 621304,4; 92,97
0,0; 30,6; 100,0; 92,70; 625198,8; 93,47
0,0; 29,4; 100,0; 93,14; 628150,3; 93,97
0,0; 28,2; 100,0; 93,62; 631391,4; 94,54
0,0; 27,0; 100,0; 94,20; 635303,7; 95,09
0,0; 25,8; 100,0; 94,59; 637948,1; 95,50
0,0; 24,6; 100,0; 95,02; 640871,4; 95,81
0,0; 23,4; 100,0; 95,19; 641997,6; 96,20
0,0; 22,2; 100,0; 95,67; 645264,6; 96,66
0,0; 21,0; 100,0; 96,18; 648685,0; 97,01
0,0; 19,7; 100,0; 96,36; 649863,3; 97,35
0,0; 18,6; 100,0; 96,68; 652018,9; 97,70
0,0; 17,4; 100,0; 96,75; 652556,2; 97,82
0,0; 16,2; 100,0; 97,17; 655370,5; 98,24
0,0; 14,9; 100,0; 97,34; 656495,4; 98,45
0,0; 13,7; 100,0; 97,77; 659404,9; 98,85
0,0; 12,5; 100,0; 97,89; 660197,9; 98,85
0,0; 11,3; 100,0; 98,03; 661185,0; 99,03
0,0; 10,1; 100,0; 98,33; 663168,1; 99,38
0,0; 8,9; 100,0; 98,49; 664275,6; 99,41
0,0; 7,7; 100,0; 98,52; 664461,4; 99,52
0,0; 6,5; 100,0; 98,67; 665484,6; 99,79
0,0; 5,3; 100,0; 98,65; 665339,3; 99,69
0,0; 4,1; 100,0; 98,81; 666426,1; 99,85
0,0; 2,9; 100,0; 98,79; 666296,7; 99,93
0,0; 1,7; 100,0; 98,91; 667101,1; 99,97
0,0; 0,5; 100,0; 98,89; 666954,5; 100,00
0,0; -0,7; 100,0; 98,86; 666730,3; 99,96
0,0; -1,9; 100,0; 98,85; 666693,1; 99,85
0,0; -3,1; 100,0; 99,07; 668185,2; 99,90
0,0; -4,3; 100,0; 98,81; 666427,3; 99,88
0,0; -5,6; 100,0; 98,66; 665404,1; 99,74
0,0; -6,8; 100,0; 98,65; 665335,9; 99,67
0,0; -8,0; 100,0; 98,49; 664245,1; 99,68
0,0; -9,2; 100,0; 98,44; 663906,3; 99,45
0,0; -10,4; 100,0; 98,11; 661713,4; 99,26
0,0; -11,6; 100,0; 98,06; 661350,9; 99,10
0,0; -12,8; 100,0; 97,78; 659469,5; 98,81
0,0; -14,0; 100,0; 97,81; 659655,9; 98,85
0,0; -15,2; 100,0; 97,28; 656113,5; 98,53
0,0; -16,4; 100,0; 97,29; 656150,9; 98,18
0,0; -17,6; 100,0; 96,81; 652907,7; 97,92
0,0; -18,8; 100,0; 96,65; 651839,5; 97,62
0,0; -20,0; 100,0; 96,26; 649234,3; 97,39
0,0; -21,2; 100,0; 96,06; 647890,5; 96,96
0,0; -22,4; 100,0; 95,56; 644531,1; 96,54
0,0; -23,6; 100,0; 95,24; 642320,8; 96,32
0,0; -24,8; 100,0; 94,72; 638842,8; 95,90
0,0; -26,0; 100,0; 94,53; 637538,1; 95,45
0,0; -27,2; 100,0; 94,00; 633980,0; 94,99
0,0; -28,5; 100,0; 93,55; 630963,4; 94,68
0,0; -29,6; 100,0; 93,04; 627528,4; 94,08
0,0; -30,9; 100,0; 92,58; 624420,6; 93,53
0,0; -32,1; 100,0; 92,11; 621204,7; 93,22
0,0; -33,3; 100,0; 91,65; 618120,7; 92,72
0,0; -34,5; 100,0; 91,02; 613893,2; 92,11
0,0; -35,7; 100,0; 90,48; 610228,8; 91,47
0,0; -36,9; 100,0; 89,73; 605206,5; 90,84
0,0; -38,1; 100,0; 89,29; 602227,0; 90,20
0,0; -39,3; 100,0; 88,47; 596662,9; 89,57
0,0; -40,5; 100,0; 87,74; 591766,3; 88,72
0,0; -41,7; 100,0; 86,94; 586377,3; 87,93
0,0; -42,9; 100,0; 85,86; 579096,7; 86,77
0,0; -44,2; 100,0; 84,46; 569631,0; 85,57
0,0; -45,3; 100,0; 83,01; 559845,2; 83,93
0,0; -46,5; 100,0; 80,18; 540775,3; 81,16
0,0; -47,7; 100,0; 74,94; 505423,9; 75,80
0,0; -48,9; 100,0; 66,29; 447080,0; 67,19
0,0; -50,2; 100,0; 55,54; 374553,8; 56,23
0,0; -51,4; 100,0; 43,80; 295417,3; 44,27
0,0; -52,6; 100,0; 32,38; 218369,8; 32,77
0,0; -53,8; 100,0; 22,56; 152155,1; 22,82
0,0; -55,0; 100,0; 16,65; 112323,2; 16,85
0,0; -56,2; 100,0; 13,43; 90574,6; 13,58
0,0; -57,4; 100,0; 11,64; 78480,3; 11,76
0,0; -58,6; 100,0; 10,55; 71176,9; 10,69
0,0; -59,8; 100,0; 9,72; 65536,6; 9,84
0,0; -61,0; 100,0; 9,12; 61477,6; 9,21
0,0; -62,2; 100,0; 8,60; 58011,4; 8,72
0,0; -63,4; 100,0; 8,18; 55145,7; 8,26
0,0; -64,6; 100,0; 7,78; 52455,4; 7,89
0,0; -65,8; 100,0; 7,44; 50153,5; 7,51
0,0; -67,0; 100,0; 7,10; 47911,4; 7,19
0,0; -68,2; 100,0; 6,79; 45824,4; 6,86
0,0; -69,4; 100,0; 6,53; 44013,9; 6,61
0,0; -70,6; 100,0; 6,24; 42052,1; 6,30
0,0; -71,8; 100,0; 6,01; 40529,1; 6,08
0,0; -73,0; 100,0; 5,76; 38836,8; 5,83
0,0; -74,2; 100,0; 5,56; 37492,0; 5,62
0,0; -75,4; 100,0; 5,37; 36186,8; 5,42
0,0; -76,6; 100,0; 5,13; 34621,6; 5,19
0,0; -77,8; 100,0; 4,96; 33479,7; 5,03
0,0; -79,0; 100,0; 4,82; 32505,0; 4,87
0,0; -80,3; 100,0; 4,62; 31185,3; 4,67
0,0; -81,5; 100,0; 4,47; 30145,2; 4,52
0,0; -82,6; 100,0; 4,30; 29006,7; 4,36
0,0; -83,9; 100,0; 4,16; 28056,2; 4,21
0,0; -85,1; 100,0; 4,05; 27288,8; 4,09
0,0; -86,3; 100,0; 3,93; 26493,1; 3,97
0,0; -87,5; 100,0; 3,81; 25704,2; 3,86
0,0; -88,7; 100,0; 3,69; 24872,2; 3,73
0,0; -89,9; 100,0; 3,58; 24169,6; 3,63
0,0; -91,1; 100,0; 3,48; 23478,3; 3,52
0,0; -92,3; 100,0; 3,37; 22716,9; 3,41
0,0; -93,5; 100,0; 3,28; 22112,5; 3,32
0,0; -94,8; 100,0; 3,17; 21392,5; 3,21
0,0; -95,9; 100,0; 3,11; 20961,5; 3,15
0,0; -97,1; 100,0; 3,02; 20351,3; 3,05
0,0; -98,3; 100,0; 2,92; 19683,7; 2,96
0,0; -99,5; 100,0; 2,85; 19245,1; 2,89
0,0; -100,7; 100,0; 2,80; 18901,1; 2,84
0,0; -101,9; 100,0; 2,72; 18343,0; 2,75
0,0; -103,2; 100,0; 2,65; 17898,3; 2,69
0,0; -104,4; 100,0; 2,56; 17297,3; 2,59
0,0; -105,5; 100,0; 2,51; 16908,2; 2,54
0,0; -106,8; 100,0; 2,46; 16564,9; 2,49
0,0; -108,0; 100,0; 2,40; 16164,7; 2,42
0,0; -109,2; 100,0; 2,33; 15701,7; 2,36
0,0; -110,4; 100,0; 2,30; 15495,1; 2,32
0,0; -111,6; 100,0; 2,24; 15080,0; 2,26
0,0; -112,8; 100,0; 2,18; 14678,5; 2,20
0,0; -113,9; 100,0; 2,13; 14376,1; 2,16
0,0; -115,2; 100,0; 2,09; 14092,6; 2,12
0,0; -116,4; 100,0; 2,04; 13725,5; 2,06
0,0; -117,6; 100,0; 1,99; 13440,3; 2,02
0,0; -118,8; 100,0; 1,93; 13026,5; 1,96
0,0; -120,0; 100,0; 1,89; 12773,2; 1,92
0,0; -121,2; 100,0; 1,85; 12482,5; 1,87
0,0; -122,4; 100,0; 1,83; 12364,6; 1,86
0,0; -123,6; 100,0; 1,78; 12008,8; 1,80
0,0; -124,8; 100,0; 1,74; 11756,2; 1,77
0,0; -126,0; 100,0; 1,74; 11739,4; 1,76
0,0; -127,2; 100,0; 1,68; 11299,8; 1,70
0,0; -128,4; 100,0; 1,67; 11255,6; 1,69
0,0; -129,6; 100,0; 1,63; 10976,7; 1,65
0,0; -130,8; 100,0; 1,57; 10608,3; 1,60
0,0; -132,0; 100,0; 1,55; 10464,0; 1,57
0,0; -133,3; 100,0; 1,53; 10338,4; 1,55
0,0; -134,4; 100,0; 1,51; 10158,1; 1,53
0,0; -135,6; 100,0; 1,47; 9884,0; 1,49
0,0; -136,9; 100,0; 1,43; 9673,6; 1,45
0,0; -138,0; 100,0; 1,41; 9524,0; 1,43
0,0; -139,3; 100,0; 1,39; 9352,5; 1,41
0,0; -140,5; 100,0; 1,37; 9271,0; 1,39
0,0; -141,7; 100,0; 1,34; 9032,3; 1,36
0,0; -142,9; 100,0; 1,33; 8963,1; 1,35
0,0; -144,1; 100,0; 1,30; 8746,2; 1,32
0,0; -145,3; 100,0; 1,29; 8683,5; 1,30
0,0; -146,5; 100,0; 1,28; 8616,8; 1,29
0,0; -147,7; 100,0; 1,24; 8382,5; 1,26
0,0; -148,9; 100,0; 1,23; 8319,7; 1,25
0,0; -150,1; 100,0; 1,21; 8133,3; 1,22
0,0; -151,3; 100,0; 1,17; 7912,5; 1,19
0,0; -152,5; 100,0; 1,16; 7799,2; 1,17
0,0; -153,7; 100,0; 1,15; 7748,6; 1,17
0,0; -155,6; 100,0; 1,10; 7452,5; 1,12


Measurement time:; 18/10/2022 17:15:25
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 -  F
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 200 x 200 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Crossline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; -211,1; 100,0; 2,07; 13940,1; 2,07
0,0; -210,2; 100,0; 2,21; 14923,0; 2,05
0,0; -208,7; 100,0; 2,26; 15270,6; 2,10
0,0; -207,7; 100,0; 2,28; 15350,6; 2,11
0,0; -206,5; 100,0; 2,30; 15525,7; 2,14
0,0; -205,3; 100,0; 2,35; 15867,0; 2,18
0,0; -204,1; 100,0; 2,38; 16045,9; 2,21
0,0; -202,9; 100,0; 2,44; 16428,0; 2,26
0,0; -201,6; 100,0; 2,46; 16618,2; 2,28
0,0; -200,4; 100,0; 2,50; 16858,7; 2,32
0,0; -199,3; 100,0; 2,55; 17221,4; 2,37
0,0; -198,0; 100,0; 2,60; 17506,5; 2,41
0,0; -196,8; 100,0; 2,63; 17731,0; 2,44
0,0; -195,7; 100,0; 2,67; 17975,5; 2,47
0,0; -194,4; 100,0; 2,71; 18304,2; 2,52
0,0; -193,2; 100,0; 2,75; 18539,6; 2,55
0,0; -192,0; 100,0; 2,80; 18891,2; 2,60
0,0; -190,8; 100,0; 2,83; 19057,9; 2,62
0,0; -189,6; 100,0; 2,88; 19447,9; 2,68
