Measurement time:; 18/10/2022 17:37:18
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; PTW60019 Diamant
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 200 x 200 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Crossline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 210,0; 100,0; 2,99; 4344,1; 2,90
0,0; 209,2; 100,0; 2,81; 4081,8; 2,84
0,0; 207,8; 100,0; 2,85; 4135,3; 2,88
0,0; 206,6; 100,0; 2,83; 4110,7; 2,86
0,0; 205,4; 100,0; 2,92; 4247,0; 2,96
0,0; 204,3; 100,0; 2,96; 4296,0; 2,99
0,0; 203,1; 100,0; 2,94; 4277,0; 2,98
0,0; 201,8; 100,0; 3,06; 4450,3; 3,09
0,0; 200,7; 100,0; 3,06; 4448,3; 3,10
0,0; 199,5; 100,0; 3,14; 4558,3; 3,17
0,0; 198,3; 100,0; 3,18; 4627,0; 3,22
0,0; 197,1; 100,0; 3,20; 4648,0; 3,24
0,0; 195,9; 100,0; 3,15; 4582,1; 3,19
0,0; 194,6; 100,0; 3,23; 4693,1; 3,27
0,0; 193,5; 100,0; 3,28; 4765,0; 3,32
0,0; 192,3; 100,0; 3,27; 4752,6; 3,31
0,0; 191,0; 100,0; 3,33; 4834,8; 3,36
0,0; 189,9; 100,0; 3,39; 4921,1; 3,42
0,0; 188,7; 100,0; 3,48; 5051,2; 3,52
0,0; 187,4; 100,0; 3,53; 5126,1; 3,57
0,0; 186,2; 100,0; 3,53; 5123,0; 3,57
0,0; 185,0; 100,0; 3,62; 5253,7; 3,66
0,0; 183,8; 100,0; 3,60; 5231,2; 3,64
0,0; 182,6; 100,0; 3,69; 5361,3; 3,73
0,0; 181,4; 100,0; 3,67; 5326,6; 3,71
0,0; 180,2; 100,0; 3,66; 5318,9; 3,70
0,0; 179,0; 100,0; 3,74; 5433,3; 3,78
0,0; 177,8; 100,0; 3,81; 5535,3; 3,86
0,0; 176,6; 100,0; 3,86; 5608,6; 3,90
0,0; 175,4; 100,0; 3,94; 5729,3; 3,99
0,0; 174,2; 100,0; 3,94; 5722,1; 3,98
0,0; 173,0; 100,0; 3,96; 5759,5; 4,01
0,0; 171,8; 100,0; 4,04; 5872,0; 4,09
0,0; 170,6; 100,0; 4,12; 5984,7; 4,17
0,0; 169,4; 100,0; 4,11; 5974,6; 4,16
0,0; 168,2; 100,0; 4,22; 6126,7; 4,27
0,0; 167,0; 100,0; 4,28; 6223,7; 4,33
0,0; 165,8; 100,0; 4,32; 6281,0; 4,37
0,0; 164,6; 100,0; 4,38; 6358,4; 4,43
0,0; 163,4; 100,0; 4,43; 6438,5; 4,49
0,0; 162,2; 100,0; 4,54; 6602,2; 4,60
0,0; 161,0; 100,0; 4,59; 6665,4; 4,64
0,0; 159,8; 100,0; 4,66; 6765,4; 4,71
0,0; 158,6; 100,0; 4,67; 6782,2; 4,73
0,0; 157,4; 100,0; 4,73; 6874,7; 4,79
0,0; 156,2; 100,0; 4,91; 7134,3; 4,97
0,0; 155,0; 100,0; 4,99; 7252,3; 5,05
0,0; 153,8; 100,0; 4,98; 7242,8; 5,05
0,0; 152,6; 100,0; 5,15; 7483,3; 5,21
0,0; 151,4; 100,0; 5,15; 7478,4; 5,20
0,0; 150,2; 100,0; 5,34; 7754,2; 5,40
0,0; 149,0; 100,0; 5,39; 7834,4; 5,45
0,0; 147,8; 100,0; 5,37; 7795,8; 5,43
0,0; 146,6; 100,0; 5,54; 8055,8; 5,61
0,0; 145,4; 100,0; 5,64; 8195,8; 5,71
0,0; 144,2; 100,0; 5,73; 8322,3; 5,79
0,0; 143,0; 100,0; 5,80; 8431,0; 5,87
0,0; 141,8; 100,0; 5,92; 8603,6; 5,99
0,0; 140,5; 100,0; 6,02; 8744,7; 6,09
0,0; 139,4; 100,0; 6,10; 8868,2; 6,18
0,0; 138,2; 100,0; 6,29; 9142,2; 6,36
0,0; 137,0; 100,0; 6,41; 9311,5; 6,48
0,0; 135,8; 100,0; 6,48; 9416,6; 6,57
0,0; 134,6; 100,0; 6,64; 9640,8; 6,71
0,0; 133,3; 100,0; 6,82; 9902,3; 6,90
0,0; 132,2; 100,0; 6,93; 10066,2; 7,01
