Measurement time:; 18/10/2022 17:48:04
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; PTW60019 Diamant
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Beam
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 0,0; 309,1; 2380,58; 31381,1; 18,19
0,0; 0,0; 307,6; 2419,68; 31896,5; 18,42
0,0; 0,0; 306,6; 2424,79; 31963,8; 18,54
0,0; 0,0; 305,3; 2435,27; 32102,0; 18,58
0,0; 0,0; 304,1; 2474,11; 32613,9; 18,85
0,0; 0,0; 302,9; 2470,57; 32567,3; 18,89
0,0; 0,0; 301,7; 2495,50; 32895,9; 19,06
0,0; 0,0; 300,5; 2518,01; 33192,7; 19,21
0,0; 0,0; 299,3; 2541,48; 33502,0; 19,43
0,0; 0,0; 298,1; 2570,51; 33884,7; 19,57
0,0; 0,0; 296,9; 2559,86; 33744,3; 19,56
0,0; 0,0; 295,7; 2581,46; 34029,0; 19,66
0,0; 0,0; 294,5; 2600,20; 34276,0; 19,87
0,0; 0,0; 293,3; 2621,34; 34554,7; 20,03
0,0; 0,0; 292,1; 2651,09; 34946,9; 20,25
0,0; 0,0; 290,9; 2669,27; 35186,5; 20,40
0,0; 0,0; 289,6; 2667,51; 35163,4; 20,35
0,0; 0,0; 288,5; 2695,83; 35536,7; 20,59
0,0; 0,0; 287,2; 2716,13; 35804,3; 20,74
0,0; 0,0; 286,0; 2743,43; 36164,1; 20,93
0,0; 0,0; 284,8; 2754,61; 36311,6; 21,04
0,0; 0,0; 283,6; 2778,60; 36627,7; 21,22
0,0; 0,0; 282,4; 2807,50; 37008,7; 21,43
0,0; 0,0; 281,2; 2810,31; 37045,8; 21,50
0,0; 0,0; 280,0; 2833,12; 37346,4; 21,61
0,0; 0,0; 278,8; 2848,65; 37551,2; 21,76
0,0; 0,0; 277,6; 2869,32; 37823,6; 21,91
0,0; 0,0; 276,4; 2899,01; 38215,0; 22,10
0,0; 0,0; 275,2; 2907,64; 38328,7; 22,25
0,0; 0,0; 274,0; 2935,17; 38691,7; 22,40
