Measurement time:; 12/04/2023 19:15:44
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; SFD parallele
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 30 x 30 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
30,0; 0,0; 100,0; 2,53; 29960,2; 2,54
29,1; 0,0; 100,0; 2,69; 31861,5; 2,70
28,0; 0,0; 100,0; 2,86; 33912,9; 2,87
27,0; 0,0; 100,0; 3,06; 36297,0; 3,07
26,1; 0,0; 100,0; 3,30; 39177,6; 3,32
25,0; 0,0; 100,0; 3,55; 42139,1; 3,57
24,1; 0,0; 100,0; 3,84; 45524,4; 3,85
23,0; 0,0; 100,0; 4,20; 49819,6; 4,22
22,1; 0,0; 100,0; 4,66; 55270,6; 4,68
21,1; 0,0; 100,0; 5,13; 60868,4; 5,15
20,0; 0,0; 100,0; 5,88; 69760,5; 5,91
19,0; 0,0; 100,0; 6,90; 81851,7; 6,93
18,0; 0,0; 100,0; 8,61; 102123,0; 8,65
17,0; 0,0; 100,0; 10,76; 127616,7; 10,80
16,0; 0,0; 100,0; 15,36; 182192,3; 15,42
15,0; 0,0; 100,0; 27,33; 324069,3; 27,43
14,1; 0,0; 100,0; 55,96; 663559,5; 56,17
13,0; 0,0; 100,0; 80,19; 950948,9; 80,50
12,0; 0,0; 100,0; 89,12; 1056862,4; 89,47
11,1; 0,0; 100,0; 93,03; 1103210,7; 93,39
10,0; 0,0; 100,0; 95,33; 1130418,0; 95,70
9,0; 0,0; 100,0; 96,41; 1143310,3; 96,79
8,0; 0,0; 100,0; 97,56; 1156875,2; 97,94
7,1; 0,0; 100,0; 98,27; 1165369,5; 98,66
6,1; 0,0; 100,0; 98,78; 1171322,5; 99,16
5,0; 0,0; 100,0; 99,02; 1174265,7; 99,41
4,0; 0,0; 100,0; 99,32; 1177726,5; 99,70
