Measurement time:; 27/05/2023 10:55:28
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; PTW60019 Diamant
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 20 x 20 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
-30,0; 0,0; 100,0; 130,51; 1102,5; 1,08
-29,0; 0,0; 100,0; 154,35; 1303,8; 1,28
-28,0; 0,0; 100,0; 155,29; 1311,7; 1,28
-27,0; 0,0; 100,0; 168,83; 1426,2; 1,40
-26,0; 0,0; 100,0; 182,91; 1545,0; 1,51
-25,0; 0,0; 100,0; 196,83; 1662,6; 1,63
-24,0; 0,0; 100,0; 208,07; 1757,6; 1,72
-23,0; 0,0; 100,0; 217,29; 1835,5; 1,80
-22,0; 0,0; 100,0; 237,47; 2006,0; 1,96
-21,0; 0,0; 100,0; 255,70; 2159,9; 2,11
-20,0; 0,0; 100,0; 287,85; 2431,5; 2,38
-19,0; 0,0; 100,0; 308,09; 2602,5; 2,55
-18,0; 0,0; 100,0; 349,48; 2952,1; 2,89
-17,0; 0,0; 100,0; 395,66; 3342,1; 3,27
-16,0; 0,0; 100,0; 471,45; 3982,3; 3,90
-15,0; 0,0; 100,0; 565,45; 4776,4; 4,68
-14,0; 0,0; 100,0; 716,66; 6053,7; 5,93
-13,0; 0,0; 100,0; 970,40; 8197,1; 8,03
-12,0; 0,0; 100,0; 1456,60; 12304,0; 12,05
-11,0; 0,0; 100,0; 2793,83; 23599,7; 23,10
-10,1; 0,0; 100,0; 5656,00; 47776,7; 46,78
-9,1; 0,0; 100,0; 9033,92; 76310,3; 74,76
-8,0; 0,0; 100,0; 10792,29; 91163,5; 89,33
-7,1; 0,0; 100,0; 11380,42; 96131,4; 94,21
-5,9; 0,0; 100,0; 11690,25; 98748,6; 96,76
-4,9; 0,0; 100,0; 11856,62; 100154,0; 98,15
-4,0; 0,0; 100,0; 11987,23; 101257,2; 99,17
-3,1; 0,0; 100,0; 12033,42; 101647,4; 99,57
-2,0; 0,0; 100,0; 12065,59; 101919,1; 99,88
-1,1; 0,0; 100,0; 12104,83; 102250,6; 100,18
0,0; 0,0; 100,0; 12087,29; 102102,4; 99,99
1,0; 0,0; 100,0; 12063,37; 101900,4; 99,83
2,0; 0,0; 100,0; 12062,91; 101896,5; 99,79
3,0; 0,0; 100,0; 11977,76; 101177,2; 99,16
4,0; 0,0; 100,0; 11919,25; 100683,0; 98,69
5,0; 0,0; 100,0; 11801,60; 99689,2; 97,64
6,0; 0,0; 100,0; 11556,19; 97616,2; 95,61
7,0; 0,0; 100,0; 11104,11; 93797,5; 91,90
8,0; 0,0; 100,0; 9977,81; 84283,5; 82,55
9,0; 0,0; 100,0; 7523,50; 63551,7; 62,27
10,0; 0,0; 100,0; 4009,49; 33868,5; 33,18
11,0; 0,0; 100,0; 1893,70; 15996,2; 15,67
12,0; 0,0; 100,0; 1152,24; 9733,1; 9,53
13,1; 0,0; 100,0; 803,36; 6786,1; 6,65
14,0; 0,0; 100,0; 606,85; 5126,2; 5,02
15,0; 0,0; 100,0; 493,33; 4167,2; 4,08
16,0; 0,0; 100,0; 415,37; 3508,7; 3,44
17,0; 0,0; 100,0; 352,88; 2980,8; 2,92
18,0; 0,0; 100,0; 306,94; 2592,8; 2,54
19,0; 0,0; 100,0; 285,56; 2412,2; 2,36
20,0; 0,0; 100,0; 260,04; 2196,6; 2,15
21,1; 0,0; 100,0; 229,25; 1936,5; 1,90
21,9; 0,0; 100,0; 220,06; 1858,9; 1,82
23,0; 0,0; 100,0; 209,83; 1772,4; 1,74
23,9; 0,0; 100,0; 195,49; 1651,3; 1,62
25,0; 0,0; 100,0; 182,35; 1540,3; 1,51
26,0; 0,0; 100,0; 173,65; 1466,8; 1,44
27,1; 0,0; 100,0; 165,00; 1393,8; 1,37
28,0; 0,0; 100,0; 162,47; 1372,4; 1,34
28,9; 0,0; 100,0; 166,75; 1408,5; 1,38
