Measurement time:; 27/05/2023 11:15:39
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; PTW60019 Diamant
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Point
Scan mode:; Absolute
Wedge:; none
Position Inline:; -0,0200195312500568 mm
Position Crossline:; -0,0946350097655682 mm
Position Depth:; 100,068801123047 mm
Dose:; 1,8372 Gy



Measurement time:; 27/05/2023 11:16:38
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; PTW60019 Diamant
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Point
Scan mode:; Absolute
Wedge:; none
Position Inline:; -0,0200195312500568 mm
Position Crossline:; -0,0306701660155682 mm
Position Depth:; 100,078780371094 mm
Dose:; 1,8356 Gy



Measurement time:; 27/05/2023 11:17:07
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; PTW60019 Diamant
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Point
Scan mode:; Absolute
Wedge:; none
Position Inline:; -0,0101928710938068 mm
Position Crossline:; -0,0745544433593182 mm
Position Depth:; 100,068801123047 mm
Dose:; 1,8358 Gy



Measurement time:; 27/05/2023 11:18:06
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; PTW60019 Diamant
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 30 x 30 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Point
Scan mode:; Absolute
Wedge:; none
Position Inline:; -0,0200195312500568 mm
Position Crossline:; -0,0617370605468182 mm
Position Depth:; 100,078780371094 mm
Dose:; 1,5569 Gy



Measurement time:; 27/05/2023 11:18:35
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; PTW60019 Diamant
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 30 x 30 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Point
Scan mode:; Absolute
Wedge:; none
Position Inline:; -0,0200195312500568 mm
Position Crossline:; -0,0463867187499432 mm
Position Depth:; 100,066634375 mm
Dose:; 1,5563 Gy



Measurement time:; 27/05/2023 11:19:16
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; PTW60019 Diamant
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 30 x 30 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Point
Scan mode:; Absolute
Wedge:; none
Position Inline:; -0,0101928710938068 mm
Position Crossline:; -0,0499572753905682 mm
Position Depth:; 100,068801123047 mm
Dose:; 1,5584 Gy



Measurement time:; 27/05/2023 11:21:09
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; PTW60019 Diamant
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 30 x 30 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
-30,0; 0,0; 100,0; 324,34; 2739,7; 2,56
-29,1; 0,0; 100,0; 351,13; 2966,0; 2,78
-28,1; 0,0; 100,0; 382,72; 3232,9; 3,03
-27,1; 0,0; 100,0; 404,92; 3420,4; 3,20
-26,1; 0,0; 100,0; 431,65; 3646,2; 3,41
-25,1; 0,0; 100,0; 463,89; 3918,5; 3,67
-24,0; 0,0; 100,0; 509,22; 4301,4; 4,03
-23,1; 0,0; 100,0; 555,09; 4688,9; 4,39
-22,0; 0,0; 100,0; 620,71; 5243,2; 4,91
-21,0; 0,0; 100,0; 698,78; 5902,7; 5,53
-20,1; 0,0; 100,0; 808,12; 6826,3; 6,39
-19,1; 0,0; 100,0; 978,23; 8263,2; 7,74
-18,1; 0,0; 100,0; 1250,76; 10565,3; 9,90
-17,0; 0,0; 100,0; 1785,10; 15078,9; 14,13
-16,0; 0,0; 100,0; 3143,70; 26555,1; 24,89
-15,1; 0,0; 100,0; 6234,12; 52660,2; 49,32
-14,0; 0,0; 100,0; 9561,94; 80770,6; 75,65
-13,1; 0,0; 100,0; 11156,14; 94236,9; 88,23
-12,1; 0,0; 100,0; 11728,36; 99070,5; 92,85
-11,0; 0,0; 100,0; 12060,13; 101873,0; 95,46
-10,1; 0,0; 100,0; 12243,90; 103425,3; 96,92
-9,1; 0,0; 100,0; 12340,32; 104239,8; 97,67
-8,0; 0,0; 100,0; 12445,44; 105127,8; 98,50
-7,0; 0,0; 100,0; 12508,24; 105658,2; 99,03
-6,0; 0,0; 100,0; 12565,22; 106139,6; 99,41
-5,1; 0,0; 100,0; 12580,58; 106269,3; 99,53
-4,0; 0,0; 100,0; 12608,71; 106506,9; 99,77
-3,1; 0,0; 100,0; 12623,63; 106632,9; 99,92
-2,0; 0,0; 100,0; 12641,55; 106784,3; 100,05
-1,1; 0,0; 100,0; 12636,34; 106740,3; 100,00
0,0; 0,0; 100,0; 12635,64; 106734,4; 100,00
1,1; 0,0; 100,0; 12618,01; 106585,5; 99,93
2,0; 0,0; 100,0; 12606,32; 106486,7; 99,77
3,0; 0,0; 100,0; 12586,76; 106321,5; 99,67
4,1; 0,0; 100,0; 12558,92; 106086,3; 99,44
5,0; 0,0; 100,0; 12528,97; 105833,3; 99,21
6,0; 0,0; 100,0; 12502,21; 105607,3; 98,97
7,0; 0,0; 100,0; 12435,05; 105040,0; 98,52
8,0; 0,0; 100,0; 12375,73; 104538,9; 98,01
9,0; 0,0; 100,0; 12252,23; 103495,6; 97,03
10,0; 0,0; 100,0; 12094,59; 102164,1; 95,72
11,0; 0,0; 100,0; 11840,54; 100018,1; 93,77
12,0; 0,0; 100,0; 11376,23; 96096,1; 90,10
13,0; 0,0; 100,0; 10275,13; 86794,9; 81,37
14,0; 0,0; 100,0; 7744,08; 65414,9; 61,30
15,0; 0,0; 100,0; 4026,55; 34012,6; 31,89
15,9; 0,0; 100,0; 2213,70; 18699,3; 17,54
17,0; 0,0; 100,0; 1420,86; 12002,1; 11,25
17,9; 0,0; 100,0; 1062,50; 8975,0; 8,41
18,9; 0,0; 100,0; 851,35; 7191,5; 6,74
19,9; 0,0; 100,0; 727,83; 6148,0; 5,76
21,0; 0,0; 100,0; 625,96; 5287,6; 4,96
21,9; 0,0; 100,0; 560,11; 4731,3; 4,44
23,0; 0,0; 100,0; 514,20; 4343,5; 4,07
