Measurement time:; 27/05/2023 12:25:45
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; Razor Nano
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 5 x 5 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
-10,0; 0,0; 100,0; 23,30; 135,8; 1,18
-9,4; 0,0; 100,0; 27,27; 158,9; 1,39
-8,9; 0,0; 100,0; 39,60; 230,8; 2,02
-8,4; 0,0; 100,0; 9,34; 54,4; 0,48
-8,0; 0,0; 100,0; 36,96; 215,4; 1,88
-7,5; 0,0; 100,0; 67,52; 393,5; 3,45
-7,0; 0,0; 100,0; 77,93; 454,2; 3,98
-6,5; 0,0; 100,0; 110,63; 644,7; 5,63
-6,0; 0,0; 100,0; 133,58; 778,5; 6,80
-5,5; 0,0; 100,0; 168,55; 982,3; 8,59
-5,0; 0,0; 100,0; 202,38; 1179,5; 10,36
-4,5; 0,0; 100,0; 257,98; 1503,5; 13,18
-4,0; 0,0; 100,0; 341,85; 1992,3; 17,49
-3,5; 0,0; 100,0; 462,27; 2694,1; 23,67
-3,0; 0,0; 100,0; 646,48; 3767,7; 33,03
-2,4; 0,0; 100,0; 972,84; 5669,7; 49,49
-2,0; 0,0; 100,0; 1226,65; 7148,9; 62,34
-1,5; 0,0; 100,0; 1542,30; 8988,6; 78,31
-1,0; 0,0; 100,0; 1772,41; 10329,6; 90,31
-0,6; 0,0; 100,0; 1922,48; 11204,2; 98,06
-0,1; 0,0; 100,0; 1966,97; 11463,6; 100,09
0,5; 0,0; 100,0; 1943,51; 11326,8; 99,18
1,0; 0,0; 100,0; 1864,16; 10864,3; 94,52
1,5; 0,0; 100,0; 1669,65; 9730,7; 85,05
2,0; 0,0; 100,0; 1369,06; 7978,9; 69,73
2,5; 0,0; 100,0; 1044,55; 6087,7; 53,28
2,9; 0,0; 100,0; 735,46; 4286,3; 37,52
3,4; 0,0; 100,0; 504,20; 2938,5; 25,69
4,1; 0,0; 100,0; 316,78; 1846,2; 16,16
4,5; 0,0; 100,0; 253,98; 1480,2; 12,93
5,0; 0,0; 100,0; 199,65; 1163,6; 10,18
5,6; 0,0; 100,0; 165,69; 965,6; 8,45
6,0; 0,0; 100,0; 146,94; 856,4; 7,49
6,5; 0,0; 100,0; 122,02; 711,1; 6,23
7,0; 0,0; 100,0; 108,46; 632,1; 5,54
7,5; 0,0; 100,0; 106,72; 622,0; 5,46
8,1; 0,0; 100,0; 87,62; 510,6; 4,49
8,5; 0,0; 100,0; 100,73; 587,0; 5,14
9,0; 0,0; 100,0; 91,84; 535,2; 4,69
9,5; 0,0; 100,0; 93,77; 546,5; 4,78
10,0; 0,0; 100,0; 78,07; 455,0; 3,97


Measurement time:; 27/05/2023 12:27:28
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; Razor Nano
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 5 x 5 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Crossline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 10,0; 100,0; 75,67; 441,0; 3,84
0,0; 9,5; 100,0; 77,90; 454,0; 3,96
0,0; 9,0; 100,0; 78,12; 455,3; 3,99
0,0; 8,5; 100,0; 74,62; 434,9; 3,80
0,0; 7,9; 100,0; 100,19; 583,9; 5,09
0,0; 7,5; 100,0; 97,90; 570,6; 4,98
0,0; 7,0; 100,0; 112,60; 656,2; 5,73
0,0; 6,5; 100,0; 119,43; 696,1; 6,08
0,0; 6,0; 100,0; 146,75; 855,2; 7,45
0,0; 5,6; 100,0; 189,09; 1102,0; 9,66
0,0; 5,0; 100,0; 246,84; 1438,6; 12,58
0,0; 4,5; 100,0; 325,98; 1899,8; 16,60
0,0; 4,0; 100,0; 469,56; 2736,6; 23,87
0,0; 3,6; 100,0; 692,01; 4033,0; 35,37
0,0; 3,0; 100,0; 967,02; 5635,8; 49,32
0,0; 2,5; 100,0; 1310,16; 7635,6; 66,68
0,0; 2,0; 100,0; 1556,34; 9070,4; 79,11
0,0; 1,4; 100,0; 1750,19; 10200,1; 88,92
0,0; 1,0; 100,0; 1887,94; 11002,9; 95,96
0,0; 0,5; 100,0; 1953,79; 11386,7; 99,12
0,0; -0,1; 100,0; 1970,57; 11484,5; 100,11
0,0; -0,5; 100,0; 1960,10; 11423,5; 99,79
0,0; -1,0; 100,0; 1910,58; 11134,9; 97,13
0,0; -1,5; 100,0; 1781,32; 10381,6; 90,54
0,0; -2,0; 100,0; 1575,68; 9183,1; 79,66
0,0; -2,5; 100,0; 1280,38; 7462,1; 64,94
0,0; -3,0; 100,0; 972,69; 5668,8; 49,33
0,0; -3,4; 100,0; 729,57; 4252,0; 37,14
0,0; -3,9; 100,0; 527,41; 3073,8; 26,85
0,0; -4,5; 100,0; 357,37; 2082,7; 18,21
0,0; -4,9; 100,0; 274,40; 1599,2; 13,99
0,0; -5,5; 100,0; 199,57; 1163,1; 10,23
0,0; -6,0; 100,0; 164,18; 956,8; 8,37
0,0; -6,4; 100,0; 136,73; 796,9; 6,97
0,0; -7,0; 100,0; 118,98; 693,4; 6,06
0,0; -7,5; 100,0; 115,03; 670,4; 5,85
0,0; -8,0; 100,0; 105,07; 612,3; 5,34
0,0; -8,5; 100,0; 103,98; 606,0; 5,30
0,0; -9,0; 100,0; 85,52; 498,4; 4,35
0,0; -9,5; 100,0; 88,69; 516,9; 4,52
0,0; -10,0; 100,0; 79,93; 465,8; 4,07


Measurement time:; 27/05/2023 12:28:57
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; Razor Nano
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 5 x 5 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Beam
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 0,0; 250,0; 730,96; 4260,0; 18,52
0,0; 0,0; 245,1; 749,53; 4368,3; 19,00
0,0; 0,0; 240,0; 788,20; 4593,6; 20,03
0,0; 0,0; 235,1; 805,69; 4695,6; 20,48
0,0; 0,0; 230,0; 824,87; 4807,4; 21,08
0,0; 0,0; 225,0; 857,01; 4994,7; 21,79
0,0; 0,0; 220,1; 879,09; 5123,4; 22,32
0,0; 0,0; 215,1; 900,15; 5246,1; 22,97
0,0; 0,0; 210,1; 923,50; 5382,2; 23,52
0,0; 0,0; 205,1; 960,18; 5596,0; 24,36
0,0; 0,0; 200,1; 976,85; 5693,1; 24,84
