Measurement time:; 27/05/2023 12:42:01
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; Razor Nano
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 10 x 10 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
-20,0; 0,0; 100,0; 68,08; 396,8; 2,71
-19,5; 0,0; 100,0; 68,68; 400,3; 2,73
-18,9; 0,0; 100,0; 86,72; 505,4; 3,45
-18,5; 0,0; 100,0; 100,72; 587,0; 4,01
-18,0; 0,0; 100,0; 97,29; 567,0; 3,87
-17,5; 0,0; 100,0; 89,89; 523,9; 3,58
-17,0; 0,0; 100,0; 92,52; 539,2; 3,68
-16,5; 0,0; 100,0; 99,41; 579,4; 3,96
-16,0; 0,0; 100,0; 99,82; 581,7; 3,97
-15,6; 0,0; 100,0; 87,61; 510,6; 3,48
-14,9; 0,0; 100,0; 68,46; 399,0; 2,72
-14,4; 0,0; 100,0; 68,27; 397,9; 2,72
-14,1; 0,0; 100,0; 65,13; 379,6; 2,59
-13,4; 0,0; 100,0; 72,68; 423,6; 2,89
-13,0; 0,0; 100,0; 75,06; 437,4; 2,99
-12,6; 0,0; 100,0; 71,70; 417,9; 2,85
-11,9; 0,0; 100,0; 71,13; 414,6; 2,83
-11,5; 0,0; 100,0; 67,82; 395,2; 2,70
-11,0; 0,0; 100,0; 69,82; 406,9; 2,78
-10,5; 0,0; 100,0; 64,50; 375,9; 2,57
-10,0; 0,0; 100,0; 85,06; 495,7; 3,39
-9,5; 0,0; 100,0; 101,12; 589,3; 4,03
-9,0; 0,0; 100,0; 115,62; 673,9; 4,60
-8,5; 0,0; 100,0; 138,34; 806,2; 5,51
-8,0; 0,0; 100,0; 176,72; 1029,9; 7,04
-7,5; 0,0; 100,0; 217,48; 1267,5; 8,65
-7,1; 0,0; 100,0; 279,75; 1630,4; 11,15
-6,5; 0,0; 100,0; 381,89; 2225,7; 15,20
-6,0; 0,0; 100,0; 537,68; 3133,6; 21,41
-5,4; 0,0; 100,0; 829,84; 4836,3; 33,08
-5,0; 0,0; 100,0; 1064,27; 6202,6; 42,34
-4,5; 0,0; 100,0; 1410,57; 8220,8; 56,20
-3,9; 0,0; 100,0; 1844,77; 10751,4; 73,45
-3,5; 0,0; 100,0; 2088,23; 12170,3; 83,19
-3,0; 0,0; 100,0; 2249,88; 13112,3; 89,56
-2,5; 0,0; 100,0; 2356,71; 13734,9; 93,88
-2,1; 0,0; 100,0; 2422,55; 14118,7; 96,47
-1,5; 0,0; 100,0; 2473,10; 14413,3; 98,51
-1,1; 0,0; 100,0; 2484,57; 14480,1; 98,96
-0,5; 0,0; 100,0; 2491,96; 14523,2; 99,34
-0,1; 0,0; 100,0; 2511,60; 14637,6; 100,03
0,5; 0,0; 100,0; 2503,23; 14588,9; 99,74
1,0; 0,0; 100,0; 2502,61; 14585,3; 99,59
1,4; 0,0; 100,0; 2481,04; 14459,6; 98,74
2,0; 0,0; 100,0; 2431,28; 14169,5; 96,92
2,4; 0,0; 100,0; 2373,33; 13831,8; 94,53
2,9; 0,0; 100,0; 2277,98; 13276,1; 90,74
3,5; 0,0; 100,0; 2092,99; 12198,0; 83,35
4,0; 0,0; 100,0; 1867,59; 10884,3; 74,41
4,5; 0,0; 100,0; 1561,06; 9097,9; 62,16
5,0; 0,0; 100,0; 1204,05; 7017,2; 47,95
5,5; 0,0; 100,0; 851,93; 4965,1; 33,94
6,0; 0,0; 100,0; 597,48; 3482,1; 23,82
6,4; 0,0; 100,0; 451,95; 2633,9; 17,99
7,0; 0,0; 100,0; 331,31; 1930,9; 13,20
7,4; 0,0; 100,0; 278,72; 1624,4; 11,09
7,9; 0,0; 100,0; 227,72; 1327,1; 9,08
8,5; 0,0; 100,0; 200,23; 1166,9; 7,98
9,0; 0,0; 100,0; 174,38; 1016,3; 6,95
9,5; 0,0; 100,0; 168,30; 980,8; 6,71
10,0; 0,0; 100,0; 128,87; 751,1; 5,13
10,5; 0,0; 100,0; 141,43; 824,3; 5,63
11,0; 0,0; 100,0; 117,41; 684,3; 4,68
11,6; 0,0; 100,0; 106,33; 619,7; 4,24
12,0; 0,0; 100,0; 104,41; 608,5; 4,17
12,5; 0,0; 100,0; 101,18; 589,7; 4,03
13,0; 0,0; 100,0; 105,82; 616,7; 4,21
13,4; 0,0; 100,0; 121,43; 707,7; 4,84
14,0; 0,0; 100,0; 101,43; 591,2; 4,04
14,4; 0,0; 100,0; 97,33; 567,2; 3,88
15,0; 0,0; 100,0; 87,88; 512,2; 3,50
15,5; 0,0; 100,0; 94,38; 550,1; 3,76
15,9; 0,0; 100,0; 97,39; 567,6; 3,88
16,4; 0,0; 100,0; 98,76; 575,6; 3,93
17,0; 0,0; 100,0; 82,29; 479,6; 3,27
17,5; 0,0; 100,0; 83,51; 486,7; 3,33
18,0; 0,0; 100,0; 84,12; 490,3; 3,35
18,4; 0,0; 100,0; 72,00; 419,6; 2,86
18,9; 0,0; 100,0; 81,19; 473,2; 3,24
19,5; 0,0; 100,0; 80,67; 470,2; 3,22
20,0; 0,0; 100,0; 90,01; 524,6; 3,59


Measurement time:; 27/05/2023 12:45:21
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; Razor Nano
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 10 x 10 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Crossline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; -20,0; 100,0; 89,11; 519,3; 3,56
0,0; -19,5; 100,0; 89,85; 523,7; 3,59
0,0; -19,0; 100,0; 81,15; 473,0; 3,24
0,0; -18,5; 100,0; 88,33; 514,8; 3,53
0,0; -18,0; 100,0; 85,07; 495,8; 3,40
0,0; -17,5; 100,0; 83,92; 489,1; 3,36
0,0; -17,0; 100,0; 89,87; 523,8; 3,59
0,0; -16,5; 100,0; 92,05; 536,5; 3,67
0,0; -16,0; 100,0; 84,08; 490,0; 3,36
0,0; -15,5; 100,0; 89,78; 523,2; 3,58
